Title,Test Interactions,Food Interactions
Ceftobiprole (Lexi-Drugs),"Positive direct antiglobulin (Coombs) test; false-positive urinary glucose test using cupric sulfate (Benedict's solution, Clinitest, Fehling's solution), falsely elevated serum or urine creatinine with Jaffé reaction assay.

",
Irinotecan (Conventional) (Lexi-Drugs),,
DexAMETHasone (Systemic) (Pediatric and Neonatal Lexi-Drugs),"May suppress the wheal and flare reactions to skin test antigens

",
Pegaspargase (Lexi-Drugs),,
Acetylcysteine (Briggs Drugs in Pregnancy and Lactation),,
DOXOrubicin (Conventional) (Lexi-Drugs),,
Tebentafusp (Lexi-Drugs),,
Flumazenil (Lexi-Drugs),,
Diphenhydramine and Phenylephrine (Lexi-Drugs),"See individual agents.

",
Acetaminophen and Tramadol (Lexi-Drugs),"See individual agents.

","Food may delay time to peak plasma levels, however, the extent of absorption is not affected. Management: Administer without regard to meals.

"
Glutamine (Lexi-Drugs),,
Sulfamethoxazole and Trimethoprim (Lexi-Drugs),"Increased creatinine ( Jaffé alkaline picrate reaction); increased serum methotrexate by dihydrofolate reductase method

",
"Omeprazole, Amoxicillin, and Rifabutin (Lexi-Drugs)","Omeprazole may falsely elevate serum chromogranin A (CgA) levels due to decreased gastric acidity; may cause false-positive results in the diagnosis of a neuroendocrine tumor. Assess CgA levels at ≥14 days after treatment is completed; repeat level if initially elevated.

","Administration with a high-fat meal decreased Cmax and increased Tmax for amoxicillin and omeprazole and decreased AUC of omeprazole. Rifabutin Cmax, Tmax, and AUC were increased. Management: Administer with food.

"
Crizanlizumab (Lexi-Drugs),"Crizanlizumab may interfere with automated platelet counts (platelet clumping), particularly when blood samples are collected in tubes containing ethylenediaminetetraacetic acid (EDTA); platelet count may be unevaluable or falsely decreased. Management: Collect blood samples in citrate-containing tubes, and run blood samples within 4 hours of sample collection. If necessary, estimate platelet count through peripheral blood smear.

",
Nitroglycerin (Lexi-Drugs),"IV formulation: Due to propylene glycol content, triglyceride assays dependent on glycerol oxidase may be falsely elevated.

",
Pentostatin-Cyclophosphamide-Rituximab  (CLL)  (Lexi-Drugs),,
Phenylephrine and Thonzylamine (Lexi-Drugs),,
Tranexamic Acid (Lexi-Drugs),,
Bamlanivimab (Lexi-Drugs),,
Micafungin (Lexi-Drugs),,
Tenoxicam (Lexi-Drugs),,
Darbepoetin Alfa (Lexi-Drugs),"HbA1c: Erythropoiesis-stimulating agents may artificially lower HbA1c through increased circulation of immature erythrocytes in the peripheral blood stream that have less exposure to glucose (Kobayashi 2016; Rasche 2017).

",
Levorphanol (Lexi-Drugs),,
Antihemophilic Factor/von Willebrand Factor Complex (Human) (Lexi-Drugs),,
LevoFLOXacin (Ophthalmic) (Lexi-Drugs),,
MitoMYcin (Systemic) (Lexi-Drugs),,
Carfilzomib (Lexi-Drugs),,
